sentence,category
39279 trip,Entertainment
netflix salli 23828,Entertainment
39703 outing,Entertainment
lost salli 11206,Other
290 තේ බොන්න,Food
adventure salli 42291,Entertainment
47855 payment,Finance
පොත් වලට 4866,Education
බනිස් 26041,Food
19177 දවල් කෑමට,Food
21563 poth,Education
bakery salli 11072,Food
28003 බඩු ගත්තා,Shopping
21254 mobitel,Utilities
වතුර බිල salli 5375,Utilities
lunch Rs.13098,Food
clothes Rs.16779,Shopping
wifi 36354,Utilities
13508 skincare,Personal Care
41885 trip,Entertainment
dhal Rs.38857,Shopping
match ticket Rs.42541,Entertainment
bag 6700,Shopping
subway salli 36087,Food
meat 24538,Shopping
24815 soap,Personal Care
36468 සපත්තු,Shopping
stock Rs.27977,Finance
39931 short eats,Food
uber Rs.5504,Transport
13325 kewa,Food
wedding 22862,Gifts & Charity
ගෑස් 32696,Utilities
tax Rs.3099,Finance
9906 තෙල්,Transport
broadband 10078,Utilities
petrol Rs.3484,Transport
stock salli 16978,Finance
meat Rs.26824,Shopping
17391 salon,Personal Care
shaving 29184,Personal Care
dialog salli 35194,Utilities
pin salli 5130,Gifts & Charity
44030 බර්ත්ඩේ,Gifts & Charity
48346 ෆිල්ම්,Entertainment
spa salli 979,Personal Care
17775 pants,Shopping
28144 rice bag,Shopping
netflix 32270,Entertainment
පොත් වලට salli 2320,Education
poth 31516,Education
20807 නයි පියවන්න,Finance
tuition salli 49038,Education
workshop Rs.7770,Education
fiber 40192,Utilities
soap 26521,Personal Care
don't know Rs.24260,Other
bakery salli 26409,Food
49484 religious,Gifts & Charity
wedding 38304,Gifts & Charity
hair cut salli 13091,Personal Care
27786 general,Other
reload Rs.18555,Utilities
bike service 41923,Transport
club salli 3022,Entertainment
7840 wedding,Gifts & Charity
helping Rs.19529,Gifts & Charity
12844 ලයිට් බිල,Utilities
බිල් එකට salli 23678,Utilities
වෙනත් Rs.47678,Other
postpaid Rs.49024,Utilities
mobitel Rs.23902,Utilities
ආධාර Rs.11729,Gifts & Charity
39403 bus,Transport
vacation salli 39794,Entertainment
car wash Rs.38719,Transport
arpico 8366,Shopping
10038 present,Gifts & Charity
bus salli 43287,Transport
27229 coursera,Education
සපත්තු Rs.6340,Shopping
බිල් එකට 32085,Utilities
ලෝන් එකට Rs.22832,Finance
cash 37979,Other
shaving 47094,Personal Care
club Rs.37562,Entertainment
කෝච්චියට 47845,Transport
rice Rs.228,Food
helping Rs.41069,Gifts & Charity
41945 mobitel,Utilities
wade salli 33605,Food
28298 fiber,Utilities
helping Rs.1643,Gifts & Charity
rice bag salli 8164,Shopping
15865 university,Education
31196 doctor,Health
hair color salli 1793,Personal Care
4455 lost,Other
religious Rs.28000,Gifts & Charity
beer salli 36088,Entertainment
spotify Rs.33833,Entertainment
outing Rs.48609,Entertainment
online course Rs.11487,Education
දානය 48678,Gifts & Charity
චැනලින් 36713,Health
තෙල් 43617,Transport
21104 චැනලින්,Health
37555 milk powder,Shopping
නිකම්ම salli 23772,Other
donation Rs.11150,Gifts & Charity
8790 pants,Shopping
rice and curry Rs.10669,Food
පින් වලට 47570,Gifts & Charity
other salli 46956,Other
slt bill Rs.43642,Utilities
බත් Rs.32748,Food
සෙල්ලම් කරන්න salli 12679,Entertainment
prepaid 313,Utilities
phone bill 14114,Utilities
42308 restaurant,Food
කඩෙන් කෑවා 32534,Food
gaming 37411,Entertainment
prepaid 29470,Utilities
37291 streaming,Entertainment
meat salli 39447,Shopping
arpico salli 49569,Shopping
breakfast salli 26768,Food
28991 ගෑස්,Utilities
makeup Rs.2349,Personal Care
තෑගි Rs.30005,Gifts & Charity
unknown 29759,Other
gift salli 26251,Gifts & Charity
36047 rice bag,Shopping
subway Rs.44376,Food
lunch 16201,Food
perfume 28604,Personal Care
health insurance salli 8232,Health
31462 burger,Food
ණය salli 21091,Finance
meat salli 3028,Shopping
barber Rs.17682,Personal Care
operation salli 13505,Health
27487 game,Entertainment
reload 38957,Utilities
kema 35494,Food
29731 operation,Health
නිකම්ම salli 5469,Other
payment 38602,Finance
broadband salli 35069,Utilities
32756 internet,Utilities
helping Rs.874,Gifts & Charity
lab Rs.45428,Health
කෝච්චියට 42569,Transport
other salli 11698,Other
33724 loan,Finance
beauty 25617,Personal Care
milk powder Rs.33604,Shopping
garbage fee Rs.45149,Utilities
loan Rs.47499,Finance
ayurvedic 11542,Health
tuition Rs.36755,Education
fiber salli 28385,Utilities
බඩු ගත්තා 11767,Shopping
coffee salli 20203,Food
19624 crypto,Finance
28744 fare,Transport
rice Rs.13043,Food
ඩිසල් 41081,Transport
soap Rs.44503,Personal Care
lunch salli 25463,Food
sugar salli 49853,Shopping
degree Rs.21341,Education
24693 spa,Personal Care
shampoo salli 29699,Shopping
10852 සපත්තු,Shopping
34527 cool drink,Food
9082 fiber,Utilities
postpaid 41503,Utilities
11934 කඩෙන් කෑවා,Food
credit card salli 24065,Finance
මුදල් Rs.18985,Other
pocket money salli 25499,Other
19796 stationary,Education
47467 ආධාර,Gifts & Charity
medical test 24810,Health
match ticket 33586,Entertainment
auto Rs.13316,Transport
rice 7569,Food
බිල් එකට 49727,Utilities
beer Rs.34949,Entertainment
ණය salli 48594,Finance
47605 pants,Shopping
මේකප් salli 11183,Personal Care
විභාග ගාස්තු salli 4778,Education
coursera Rs.7522,Education
20355 ෆාමසි,Health
game 2002,Entertainment
watch 19959,Shopping
offer salli 32493,Gifts & Charity
43909 dental,Health
threewheel salli 37937,Transport
soap Rs.9766,Personal Care
dialog 19284,Utilities
වෙනත් salli 26588,Other
party salli 45854,Entertainment
තෑගි salli 1679,Gifts & Charity
donation salli 45201,Gifts & Charity
bus 31517,Transport
hotel bill Rs.7299,Food
27403 drink,Food
poth Rs.28769,Education
match ticket Rs.16373,Entertainment
dental 43167,Health
19716 unknown,Other
27459 gym,Personal Care
breakfast 25122,Food
reload Rs.13422,Utilities
19314 season,Transport
tire change 13188,Transport
vehicle repair salli 43291,Transport
බනිස් salli 24953,Food
vacation Rs.22941,Entertainment
42457 lunch,Food
restaurant Rs.44904,Food
dansal Rs.18583,Gifts & Charity
28290 interest,Finance
22545 makeup,Personal Care
රීලෝඩ් salli 19733,Utilities
